publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-30T15:19:29Z,@ramafarizi6536,"Bang jer menurutku ini konten keren bangett, aku ada saran bang jer ngajarinnya lebih sabar lagi lebih tenang lagi soalnya kan yg diajari kadang mikirnya ga secepet yg ngajarin.",0
2024-10-30T14:10:55Z,@rettanics9337,Lucu banget ekspresinya... Bisa2nya angga  kaget sendiri sama hasilnya yg bener 🤣🤣,0
2024-10-30T13:38:10Z,@Mollyy95,Emng ya yg ganteng² itu pinter mtk.. keren bgt,0
2024-10-30T13:10:12Z,@attinaga5410,Yg biasa ngejar diskon pasti jago ngitung 🤭,0
2024-10-30T13:00:43Z,@attinaga5410,Coba undang ALELDUL dong,0
2024-10-30T12:18:44Z,@tazkiabdullah,Salfok sama angga nulisnya pakai tangan kiri. Setiap orang yg nulisnya pakai tangan kiri.. Pasti pinter. Berarti angga yunanda emang pinter 😍🤩,0
2024-10-30T12:14:48Z,@tazkiabdullah,Angga kumisan. Pangling.. Wkwkw. Kayak bukan angga yunanda. Pasti karena tuntutan peran film nya.. 😃,0
2024-10-30T12:14:13Z,@macan-z1u,Mirip ya,0
2024-10-30T12:06:08Z,@rossyrose511,Gila angga aku bangga 😂,0
2024-11-02T03:01:33Z,@rhmaaan3910,oi,0
2024-10-30T11:46:28Z,@nuridaoctavia9473,Tranding kan....,0
2024-10-30T10:36:13Z,@DinoDesign-o3g,Kak jerom banyakin konten tentang matematika dong,0
2024-10-30T10:12:46Z,@romina6907,sakit ya mas atau flu kalau kurang sehat istirahat mas,0
2024-10-30T08:32:08Z,@syunianggr,Colab sm prilly,0
2024-10-30T08:30:14Z,@krisZs666,Kangen waseda boys,0
2024-10-30T08:14:53Z,@zeey001,"gila, ada kembaran gue",0
2024-10-30T07:14:25Z,@nayya7764,nextt collab sama syifa hadju dong jerr😅,1
2024-10-30T06:12:00Z,@Fazri27channel,Matematika menyerukan😊,0
2024-10-30T06:11:41Z,@munchkinesse,suka bgt konten challange mtk giniii nge bantu bgt jerrr,1
2024-10-30T06:10:11Z,@isroqmlonk8585,Chatez❤❤❤,0
2024-10-30T06:09:57Z,@isroqmlonk8585,Collab sm chatez❤❤❤,0
2024-10-30T05:12:20Z,@ihsanramadhan5113,Ajak bg abdur min,0
2024-10-30T00:56:09Z,@SitiMutmainah-b8w,Next collab sama iqbal ramadhan plisssss,0
2024-10-30T00:39:25Z,@aureliaangelc1545,Episodee kesekiann nontonin angga promo film ini😭,0
2024-10-30T00:20:13Z,@hennychannel8493,Makasih jer. Sekarang aku lagi di kasih PR kelas 6 SD sama anaknya bos. Bilangnya cuma main aja. Tapi ngerjain nya serius😂😂😂😂😂<br>Mantaappp jiwaaaaa🎉🎉,0
2024-10-30T00:15:00Z,@silverbullet4869_,"Bang, gimana cara menghitung persentase. Dalam kasus saya, responden sebanyak 100 dan beberapa responden menjawab lebih dari 1 jawaban sehingga diperoleh jumlah total 160 (jawaban 1 = 83 orang, jawaban 2 = 31, jawaban 3 = 9, jawaban 4 = 2, jawaban 5 = 2, jawaban 6 = 33 orang). Kalo 1 responden memilih 1 jawaban kan enak bang ngitungnya apalagi responden pas 100, ini responden beberapa memilih lebih dari 1. Tolong dibantu bang. Terima kasih.",0
2024-10-29T23:11:41Z,@doszzstore,kak jerome info lagu jepang yang bagus dong waktu vidio kak jerome yg kejepang bareng keluarga 3 bulan yg lalu itu kan ada scene yg hp jatuh pas lagi makan sushi itu lagu nya enak info lagi dong lagu yg enak,1
2024-10-29T22:52:01Z,@ayusesar4091,Sering sering bang bikin konten bahas soal suka bgt gue yg udh lupa inget lagi,0
2024-10-29T19:38:06Z,@rizkifatimahkiki7421,Ya Allah dikira siapa taunya Angga yunanda udah kumisan😭,0
2024-10-29T16:33:57Z,@SkrivSizzle,Thumnail nya gw pikir Bisma smash wkwkwk,0
2024-10-29T16:30:47Z,@grasellasinaga956,"Kenapa untung nya jd 120% yaa kan td soal nya untung 20%, tolong kasih paham dong 😅",0
2024-10-29T14:50:00Z,@puspitanawasepti2363,"Baru tau Angga kidal yaaa, lucu banget🤭",3
2024-10-29T15:14:03Z,@GoodBoys27_,"Iya bjir sama kek si Syifa Hadju sama sama kidal, emang 2 sahabat ini unik bet wkwk",1
2024-10-29T14:43:35Z,@DiqyOfficial,Kalau 64.000 + 20% = 76.800 salah?,0
